order_id,timestamp,symbol,entry_price,exit_price,quantity,pnl,percentage_gain,take_profit_price,stop_loss_price,trade_duration_minutes,result
8279893,2025-03-22 06:33:16,BTCUSDT,84176.4,84231.83,0.01187,0.66,0.07,84229.8,84066.39,12.24,TAKE_PROFIT
8282999,2025-03-22 06:37:19,BTCUSDT,84209.68,84275.92,0.01187,0.79,0.08,84264.02,84099.44,6.3,TAKE_PROFIT
8282513,2025-03-22 06:37:25,BTCUSDT,84206.24,84300.0,0.01187,1.11,0.11,84276.43,84085.68,7.38,TAKE_PROFIT
8282227,2025-03-22 06:37:28,BTCUSDT,84206.91,84321.99,0.01187,1.37,0.14,84313.82,84093.51,8.45,TAKE_PROFIT
8283450,2025-03-22 06:37:29,BTCUSDT,84237.52,84321.99,0.01187,1.0,0.1,84314.64,84125.41,5.45,TAKE_PROFIT
8285523,2025-03-22 06:51:44,BTCUSDT,84328.82,84232.59,0.01185,-1.14,-0.11,84491.44,84235.49,11.71,STOP_LOSS
8285149,2025-03-22 06:58:23,BTCUSDT,84323.37,84226.82,0.01185,-1.14,-0.11,84547.47,84229.53,21.36,STOP_LOSS
8285448,2025-03-22 06:58:23,BTCUSDT,84323.79,84226.82,0.01185,-1.15,-0.11,84496.08,84229.69,19.36,STOP_LOSS
8287066,2025-03-22 06:58:47,BTCUSDT,84303.12,84209.68,0.01186,-1.11,-0.11,84361.5,84218.49,13.76,STOP_LOSS
8285673,2025-03-22 06:59:00,BTCUSDT,84299.68,84198.31,0.01186,-1.2,-0.12,84418.55,84199.48,17.97,STOP_LOSS
8286009,2025-03-22 06:59:00,BTCUSDT,84293.58,84198.31,0.01186,-1.13,-0.11,84349.35,84199.66,16.98,STOP_LOSS
8286541,2025-03-22 06:59:00,BTCUSDT,84289.68,84198.31,0.01186,-1.08,-0.11,84301.68,84198.94,15.98,STOP_LOSS
8286918,2025-03-22 06:59:01,BTCUSDT,84303.11,84198.31,0.01186,-1.24,-0.12,84319.59,84204.93,14.99,STOP_LOSS
8287374,2025-03-22 06:59:01,BTCUSDT,84279.64,84198.31,0.01186,-0.96,-0.1,84335.34,84206.08,12.98,STOP_LOSS
8287716,2025-03-22 06:59:01,BTCUSDT,84271.73,84198.31,0.01186,-0.87,-0.09,84289.75,84202.4,12.0,STOP_LOSS
8287871,2025-03-22 06:59:02,BTCUSDT,84281.55,84198.31,0.01186,-0.99,-0.1,84295.22,84202.1,11.0,STOP_LOSS
8285305,2025-03-22 07:01:29,BTCUSDT,84296.69,84186.0,0.01186,-1.31,-0.13,84522.05,84186.85,23.46,STOP_LOSS
8284857,2025-03-22 07:01:52,BTCUSDT,84267.63,84156.27,0.01186,-1.32,-0.13,84439.17,84166.76,25.84,STOP_LOSS
8287989,2025-03-22 07:01:52,BTCUSDT,84252.01,84156.27,0.01186,-1.14,-0.11,84261.84,84168.54,12.85,STOP_LOSS
8288232,2025-03-22 07:01:53,BTCUSDT,84245.22,84156.27,0.01187,-1.06,-0.11,84418.82,84158.42,11.85,STOP_LOSS
8288848,2025-03-22 07:01:53,BTCUSDT,84244.16,84156.27,0.01187,-1.04,-0.1,84316.9,84161.08,6.86,STOP_LOSS
8284464,2025-03-22 07:02:06,BTCUSDT,84250.38,84147.92,0.01186,-1.22,-0.12,84401.97,84152.54,27.07,STOP_LOSS
8288298,2025-03-22 07:02:06,BTCUSDT,84236.46,84147.92,0.01187,-1.05,-0.11,84407.51,84150.94,11.07,STOP_LOSS
8289269,2025-03-22 07:02:07,BTCUSDT,84246.01,84147.92,0.01186,-1.16,-0.12,84338.68,84153.88,6.1,STOP_LOSS
8283962,2025-03-22 07:02:45,BTCUSDT,84237.74,84132.11,0.01187,-1.25,-0.13,84359.07,84134.27,29.72,STOP_LOSS
8284110,2025-03-22 07:02:45,BTCUSDT,84237.74,84132.11,0.01187,-1.25,-0.13,84378.33,84136.73,28.73,STOP_LOSS
8280620,2025-03-22 07:02:53,BTCUSDT,84215.99,84110.12,0.01187,-1.26,-0.13,84411.14,84111.5,38.87,STOP_LOSS
8281889,2025-03-22 07:02:54,BTCUSDT,84225.0,84110.12,0.01187,-1.36,-0.14,84353.44,84111.59,34.87,STOP_LOSS
8280028,2025-03-22 07:05:17,BTCUSDT,84201.87,84085.26,0.01187,-1.38,-0.14,84337.85,84087.25,43.26,STOP_LOSS
8280238,2025-03-22 07:05:17,BTCUSDT,84192.7,84085.26,0.01187,-1.28,-0.13,84380.31,84085.45,42.26,STOP_LOSS
8280862,2025-03-22 07:05:18,BTCUSDT,84198.02,84085.26,0.01187,-1.34,-0.13,84378.32,84085.89,40.27,STOP_LOSS
8281071,2025-03-22 07:05:18,BTCUSDT,84214.66,84085.26,0.01187,-1.54,-0.15,84362.74,84101.14,39.28,STOP_LOSS
8281463,2025-03-22 07:05:19,BTCUSDT,84214.67,84085.26,0.01187,-1.54,-0.15,84350.44,84107.52,38.29,STOP_LOSS
8291176,2025-03-22 07:05:19,BTCUSDT,84187.26,84085.26,0.01187,-1.21,-0.12,84377.39,84092.2,4.29,STOP_LOSS
8301847,2025-03-22 07:45:48,BTCUSDT,84175.56,84046.66,0.01187,-1.53,-0.15,84345.76,84052.42,2.78,STOP_LOSS
8303224,2025-03-22 07:45:48,BTCUSDT,84173.35,84046.66,0.01188,-1.51,-0.15,84321.72,84053.57,0.78,STOP_LOSS
8304525,2025-03-22 07:54:32,BTCUSDT,84145.09,84153.46,0.01188,0.1,0.01,84150.46,84020.95,4.52,TAKE_PROFIT
8305863,2025-03-22 07:54:33,BTCUSDT,84147.35,84153.46,0.01188,0.07,0.01,84148.51,84031.71,0.53,TAKE_PROFIT
8306076,2025-03-22 07:57:04,BTCUSDT,84124.4,84169.82,0.01188,0.54,0.05,84149.71,83995.62,2.05,TAKE_PROFIT
8306193,2025-03-22 07:57:05,BTCUSDT,84124.41,84169.82,0.01188,0.54,0.05,84142.82,84009.15,1.05,TAKE_PROFIT
8302568,2025-03-22 07:57:38,BTCUSDT,84173.36,84040.26,0.01188,-1.58,-0.16,84337.68,84044.88,13.6,STOP_LOSS
8303643,2025-03-22 07:57:38,BTCUSDT,84173.35,84040.26,0.01188,-1.58,-0.16,84306.3,84053.99,11.61,STOP_LOSS
8303856,2025-03-22 07:57:38,BTCUSDT,84173.35,84040.26,0.01188,-1.58,-0.16,84295.75,84052.65,10.61,STOP_LOSS
8304062,2025-03-22 07:57:39,BTCUSDT,84196.63,84040.26,0.01187,-1.86,-0.19,84322.13,84096.32,9.62,STOP_LOSS
8304207,2025-03-22 07:57:39,BTCUSDT,84169.89,84040.26,0.01188,-1.54,-0.15,84262.72,84053.76,8.62,STOP_LOSS
